repositoryGitHubSlug,npmPackageName,patchedVersion,patchedVersionReleaseDate
mapbox/mapbox.js,mapbox.js,1.6.5,2015-04-08T23:27:50.416Z
tngan/samlify,samlify,2.3.0,2017-09-22T16:15:14.675Z
sass/node-sass,node-sass,4.13.1,2020-01-16T12:47:40.307Z
webtorrent/webtorrent,webtorrent,0.107.6,2019-08-27T21:07:25.567Z
ipfs/js-ipns,ipns,0.1.3,2018-08-23T07:54:13.085Z
totaljs/framework,total.js,3.2.3,2019-02-20T14:30:38.680Z
salvoravida/react-adal,react-adal,0.5.1,2020-12-18T08:53:02.321Z
kjur/jsrsasign,jsrsasign,8.0.17,2020-06-19T14:38:21.547Z
broofa/mime,mime,2.0.3,2017-09-25T18:38:39.500Z
plotly/plotly.js,plotly.js,1.16.0,2016-08-04T18:49:18.362Z
select2/select2,select2,4.0.6,2019-04-28T03:21:35.012Z
expressjs/serve-index,serve-index,1.6.3,2015-03-14T05:24:28.356Z
SAP/cloud-sdk-js,@sap-cloud-sdk/core,1.21.2,2020-06-11T08:20:22.639Z
tiaanduplessis/kill-port,kill-port,1.3.2,2018-09-11T05:49:16.636Z
ZJONSSON/node-unzipper,unzipper,0.8.13,2018-04-16T13:37:08.895Z
ljharb/qs,qs,6.1.2,2017-03-06T16:50:51.782Z
parse-community/Parse-SDK-JS,parse,2.10.0,2019-12-03T06:25:06.418Z
cisco/node-jose,node-jose,0.9.3,2017-02-20T19:00:32.910Z
abodelot/jquery.json-viewer,jquery.json-viewer,1.3.0,2019-07-04T12:31:57.231Z
brianleroux/tiny-json-http,tiny-json-http,7.0.0,2018-02-15T01:30:51.970Z
ain/smartbanner.js,smartbanner.js,1.14.1,2019-09-11T21:46:30.292Z
simonh1000/angular-http-server,angular-http-server,1.6.0,2018-10-13T06:48:24.511Z
diegohaz/querymen,querymen,2.1.4,2020-03-12T17:18:49.242Z
AzureAD/passport-azure-ad,passport-azure-ad,1.4.6,2016-08-24T19:59:59.710Z
locutusjs/locutus,locutus,2.0.12,2020-09-03T10:56:51.379Z
vercel/serve,serve,6.5.2,2018-03-05T18:23:40.107Z
c3js/c3,c3,0.4.11,2016-05-04T01:39:47.480Z
commenthol/serialize-to-js,serialize-to-js,3.0.1,2019-12-06T17:17:45.180Z
firebase/firebase-js-sdk,@firebase/util,0.3.4,2020-11-05T20:26:55.715Z
sindresorhus/dot-prop,dot-prop,4.2.1,2020-08-16T11:13:03.636Z
peterbraden/node-opencv,opencv,6.1.0,2019-03-20T08:55:43.340Z
shinnn/rate-map,rate-map,1.0.5,2019-07-09T10:32:38.325Z
ForbesLindesay/constantinople,constantinople,3.1.1,2018-02-09T23:40:07.327Z
thenables/thenify,thenify,3.3.1,2020-06-17T17:30:57.152Z
pveyes/htmr,htmr,0.8.7,2020-02-01T02:22:33.295Z
strikeentco/set,@strikeentco/set,1.0.1,2020-10-29T12:53:17.608Z
mikaelbr/node-notifier,node-notifier,8.0.1,2020-12-15T15:33:50.959Z
vdemedes/secure-compare,secure-compare,3.0.1,2015-03-30T22:10:32.432Z
mariocasciaro/object-path,object-path,0.11.5,2020-10-10T16:48:50.597Z
cthackers/adm-zip,adm-zip,0.4.11,2018-05-12T22:25:40.736Z
keystonejs/keystone,keystone,0.3.16,2015-12-04T02:49:01.091Z
grpc/grpc-node/tree/master/packages/grpc-js,@grpc/grpc-js,1.1.8,2020-10-28T20:33:09.803Z
visionmedia/superagent,superagent,3.7.0,2017-10-19T13:31:10.588Z
expressjs/method-override,method-override,2.3.10,2017-09-27T13:52:17.920Z
mysticatea/eslint-utils,eslint-utils,1.4.1,2019-08-20T10:23:20.663Z
mikeal/tunnel-agent,tunnel-agent,0.6.0,2017-03-05T00:30:01.500Z
ensdomains/ens,@ensdomains/ens,0.4.0,2020-01-30T01:30:38.527Z
yarnpkg/yarn,yarn,1.17.3,2019-07-12T15:28:44.271Z
websockets/ws,ws,3.3.1,2017-11-08T16:58:34.343Z
lodash/lodash,lodash,4.17.11,2018-09-12T18:32:16.141Z
mongodb/js-bson,bson,1.1.4,2020-03-24T11:56:37.931Z
hapijs/call,call,3.0.2,2016-07-04T04:14:37.707Z
ajv-validator/ajv,ajv,6.12.3,2020-07-04T16:02:12.780Z
mrodrig/doc-path,doc-path,2.1.2,2020-10-06T02:48:51.025Z
ionic-team/cordova-plugin-ionic-webview,cordova-plugin-ionic-webview,2.2.0,2018-10-04T22:40:20.350Z
GitbookIO/gitbook,gitbook,3.2.2,2016-10-01T20:37:51.549Z
jquense/expr,property-expr,2.0.3,2020-08-17T17:34:50.591Z
ashaffer/cached-path-relative,cached-path-relative,1.0.2,2018-11-07T17:15:26.426Z
Khan/simple-markdown,simple-markdown,0.5.2,2019-08-31T22:22:42.667Z
strongloop/loopback,loopback,2.42.0,2019-06-04T17:45:17.255Z
coderaiser/node-restafary,restafary,1.6.1,2016-03-25T19:45:03.766Z
isaacs/ini,ini,1.3.6,2020-12-08T23:45:49.209Z
quilljs/quill,quill,1.3.7,2019-09-09T07:15:57.127Z
markdown-it/markdown-it,markdown-it,3.0.0,2015-01-04T13:17:00.050Z
isaacs/minimatch,minimatch,3.0.2,2016-06-17T20:13:02.079Z
